TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
120 - 150g (P)
"2 - 2,5kg (P)"
"2 - 2,5kg (P)"
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
18 - 20cm (C)
4 - 5cm (D)
200 - 250g (P)
200 - 300g (P)
200 - 250g (P)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
"0,5kg (P)"
100 - 200g (P)
40 - 50cm (C)
10 - 20cm (D)
03 - 12kg (P)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
5 - 20kg (P)
12 - 18cm (C)
180 - 400g (P)
"1,3kg (P)"
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
"0,8 - 1,2kg (P)"
4 - 8kg (P)
"2,5kg (P)"
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
12kg (P)
25 - 35cm (A)
8 - 15cm (A)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
20 - 25cm (A)
300g (P)
20 - 30cm (D)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
20 - 30cm (D)
15 - 20cm (D)
25 - 35cm (D)
20 - 30cm (D)
20 - 30cm (D)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
20 - 30cm (D)
20 - 30cm (D)
20 - 30cm (D)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
20 - 30cm (D)
22 - 26cm (D)
10 - 15cm (A) 
4 - 6cm (D)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
18 - 25cm (A)
20 - 30cm (A)
8cm (D)
350g (P)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
7 - 9cm (D)
16 - 20cm (C)
20 - 22cm (C)
250 - 350g (P)
6 - 8cm (D)
 (AF)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
45 - 55cm (AF)
6 - 8cm (D)
45 - 50cm (AF)
6 - 8cm (D)
220 - 250g (P)
8 - 10cm (D)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
6 - 8cm (D)
5 - 6cm (A)
6 - 8cm (D)
6 - 8cm (D)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
3 - 6cm (AF)
2 - 5cm (D)
7 - 9cm (AF)
6 - 8cm (D)
10 - 30cm (A)
20 - 25cm (C)
"3 - 4cm (D)14 - 18cm (C)"
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
18 - 22cm (C)
3 - 4cm (D)
15 - 25cm (C) 
3 - 4cm (D)
30 - 50cm (D)
30 - 40cm (A)
100cm (A)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
16 - 20cm (D)
400 - 600g (P)
12 - 15cm (D)
800g (P)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
30 - 40cm (A)
18 - 22cm (D)
300 - 500g (P)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
8 - 13cm (D)
9 - 11cm (CV)
9 - 11cm (CV)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
Roseta.
8 - 12cm (CV)
5 - 7cm (D)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
4 - 6cm (D)
"0,7 - 1,5kg (P)"
"0,3 - 0,5kg (P)"
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
5 - 7cm (C)
70 - 100g (P)
10 - 14kg (P)
30 - 40cm (C)
25 - 35cm (D)
10 - 15kg (P)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
12 - 18kg (P)
40 - 50cm (AF)
25 - 35cm (D)
45 - 60cm (C)
25 - 35cm (D)
10 - 18kg (P)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
8 - 12kg (P)
10 - 18kg (P)
18 - 24cm (D)
"1 - 1,5kg (P)"
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
"1,5 - 2,5kg (P)"
"0,8 - 1,1kg (P)"
"1 - 2,5kg (P)"
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
"1 - 1,5kg (P)"
12 - 20cm (CE)
280cm (AP)
12 - 18cm (C)
150cm (AP)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
20 - 25cm (AP)
35 - 45cm (A)
35 - 40cm (C)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
7 - 12cm (D)
5 - 9cm (C)
20 - 22cm (C)
"2,5 - 3cm (D)"
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
22cm (C)
6 - 12cm (C)
5 - 9cm (C)
10 - 3cm (C)
"3cm (D)16cm (C)"
"2,5cm (D)10cm (C)"
"3,5cm (D)4cm (C)"
"4,5cm (D)3,5cm (C)"
"1,5cm (D)1cm (C)"
"1,5cm (D)1cm (C)"
"1cm (D)1cm (C)"
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
1cm (D)
3cm (C)
1 - 2cm (D)
4cm (D)
"5,5cm (C)"
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
8cm (C) 
3cm (D)
12 - 16cm (A)
15 - 20cm (A)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
3 - 5cm (A)
4 - 6cm (D)
180 - 200g (P)
19cm (C)
12cm (D)
17 - 18cm (C)
7cm (D)
200g (P)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
12cm (C)
9cm (D)
260 - 300g (P)
16cm (C)
14cm (D)
220 - 280g (P)
8 - 13cm (C)
8 - 10cm (D)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
14 - 16cm (C)
8 - 15cm (C)
10 - 16cm (CF)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
3 - 4cm (D)
2 - 3cm (D)
1 - 2cm (D)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
12 - 15cm (C)
"4 - 4,5cm (D)"
"1,6 - 2,0kg (P)"
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
"1,8 - 2,2kg (P) "
"1,5 - 2,0kg (P) "
"1,5 - 2,5kg (P) "
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
"2,0 - 2,5kg (P)"
14 - 18cm (A)
14 - 18cm (A)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
12 - 16cm (A)
12 - 22cm (A)
10 - 20cm (A)
10 - 15g (P)
35 - 50g (P)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
200 - 250g (P)
Indeterminado
180 - 200g (P)
180 - 220g (P)
Indeterminado
"12 - 16cm (A)Indeterminado"
"340 - 360g (P)Indeterminado"
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
130g - 170g (P) 
Indeterminado
100 - 140g (P)
Indeterminado
120 - 140g (P)
Determinado
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
18 - 23g (P)
Indeterminado
90g (P)
Indeterminado
60 - 70g (P)
Indeterminado
30 - 70cm (A)
50cm (A)
20cm (A)
40cm (A)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
60cm (A)
40cm (A)
30 - 70cm (A)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
50cm (A)
50cm (A)
20 - 25cm (A)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
30 - 60cm (A)
30 - 50cm (A)
10 - 30cm (A)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
Planta em rama
25 - 35cm (A)
15cm (A)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
10 - 15cm (A)
30 - 50cm (A)
10 - 20cm (A)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
10 - 20cm (A)
10 - 20cm (A)
10 - 20cm (A)
30 - 40cm (A)
30 - 40cm (A)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
50 - 60cm (A)
12 - 20cm (A)
70 - 90cm (A)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
50cm (A)
70 - 100cm (A)
150cm (A)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
30 - 40cm (A)
20 - 30cm (A)
85 - 90cm (A)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
20 - 30cm (A)
Trepadeira
30 - 40cm (A)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
20 - 40cm (AP)
20 - 30cm (A)
55 - 65cm (A)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
55 - 65cm (A)
55 - 65cm (A)
55 - 65cm (A)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
30cm (A)
30 - 50cm (A)
90 - 100cm (A)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
30 - 40cm (A)
60 - 70cm (A)
35cm (A)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
"2 - 2,5m (A)"
40 - 50cm (A)
70 - 90cm (A)
18 - 24 (D)
"3 - 5cm (A)10 - 15cm (PA)"
"3 - 5cm (A)10 - 15cm (PA)"
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
40 - 50cm 
80 - 90cm (A)
150 - 200cm (A)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
30 - 50cm (A)
80 - 90cm (A)
50cm (A)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
30 - 40cm (A)
30 - 40cm (A)
10 - 20cm (A)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
15 - 25cm (A)
8 - 12cm (A)
50 - 70cm (A)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
20 - 30cm (A)
70 - 80cm (A)
50cm (A)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
30 - 50cm (A)
40 - 60cm (A)
30 - 35cm (A)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
30 - 35cm (A)
30 - 35cm (A)
55 - 65cm (A)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
50 - 70cm (A)
50cm (A)
15 - 25cm (A)
TAMANHO DA 
PLANTA/FRUTO
CRESCIMENTO
25 - 40cm (A)
60 - 70cm (A)
30 - 40cm (A)
TAMANHO DA 
